"Black item number","Product Link","Quantity","Description"
"33408-8220","https://www.dickblick.com/items/33408-8220/","3 squre inches (1.75in x 1.75in square)","woven 80 mesh brass Amaco Wireform Mesh 16in × 20in"
"63201-1036","https://www.dickblick.com/items/63201-1036/","1.6 squre inches (1.25in x 1.25in square)","Polyester Felt per yard White 36in wide"
