"Bolt Depot Product Number","Product Link","Quantity","Description"
"22990","https://www.boltdepot.com/Product-Details.aspx?product=22990","14","Metric hex nuts, Stainless steel 316 (A-4), 2mm x 0.4mm"
"22186","https://www.boltdepot.com/Product-Details.aspx?product=22186","10","Metric machine screws, Phillips pan head, Stainless steel 316 (A-4), 2mm x 0.4mm x 5mm"
"22188","https://www.boltdepot.com/Product-Details.aspx?product=22188","2","Metric machine screws, Phillips pan head, Stainless steel 316 (A-4), 2mm x 0.4mm x 8mm"
